"","M","Z1","Z2","Z3","Z4","X1","X2","X3","X4","X5","X6"
"1","TITE-gBOIN-ET",45,5,"Utility",1,64.98,26.176404391354,0,0,0.22,378.244886262564
"2","TITE-gBOIN-ET",45,5,"Utility",2,53.62,28.0906186659104,13.48,6.60705497676979,0.46,347.855789808221
"3","TITE-gBOIN-ET",45,5,"Utility",3,57.69,33.3445440328249,16.18,8.28358585433938,3.51,336.980819824096
"4","TITE-gBOIN-ET",45,5,"Utility",4,57.64,39.4751170641403,30.04,19.1767396275727,1.69,305.204589913751
"5","TITE-gBOIN-ET",45,5,"Utility",5,55.4,37.9017875832043,18.08,12.3029262778917,1.48,307.212115658999
"6","TITE-gBOIN-ET",45,5,"Utility",6,61.24,49.0377464129626,29.41,20.3096927306609,0.37,277.768609783473
"7","TITE-gBOIN-ET",45,5,"Utility",7,72.78,79.2525370309345,25.16,20.7474629690655,2.06,260.435885751252
"8","TITE-gBOIN-ET",45,5,"Utility",8,76,53.6390835826617,12.16,29.3893606913967,0.01,297.334960971792
"9","TITE-gBOIN-ET",45,5,"Utility",9,49.01,37.0118647039669,36.03,19.5187322050314,1.36,352.137111630761
"10","TITE-gBOIN-ET",45,5,"Utility",10,50.07,19.0560722738941,0,0,0.1,362.856608174094
"11","TITE-gBOIN-ET",45,5,"Highest Efficacy",1,64.47,26.176404391354,0,0,0.22,378.244886262564
"12","TITE-gBOIN-ET",45,5,"Highest Efficacy",2,54.14,28.0906186659104,7.18,6.60705497676979,0.46,347.855789808221
"13","TITE-gBOIN-ET",45,5,"Highest Efficacy",3,56.15,33.3445440328249,4.89,8.28358585433938,3.51,336.980819824096
"14","TITE-gBOIN-ET",45,5,"Highest Efficacy",4,60.91,39.4751170641403,20.66,19.1767396275727,1.69,305.204589913751
"15","TITE-gBOIN-ET",45,5,"Highest Efficacy",5,59.19,37.9017875832043,8.97,12.3029262778917,1.48,307.212115658999
"16","TITE-gBOIN-ET",45,5,"Highest Efficacy",6,65.38,49.0377464129626,15.28,20.3096927306609,0.37,277.768609783473
"17","TITE-gBOIN-ET",45,5,"Highest Efficacy",7,86.53,79.2525370309345,11.41,20.7474629690655,2.06,260.435885751252
"18","TITE-gBOIN-ET",45,5,"Highest Efficacy",8,74.07,53.6390835826617,19.61,29.3893606913967,0.01,297.334960971792
"19","TITE-gBOIN-ET",45,5,"Highest Efficacy",9,78.52,37.0118647039669,8.66,19.5187322050314,1.36,352.137111630761
"20","TITE-gBOIN-ET",45,5,"Highest Efficacy",10,43.66,19.0560722738941,0,0,0.1,362.856608174094
