"","M","Z1","Z2","Z3","Z4","X1","X2","X3","X4","X5","X6"
"1","gBOIN-ET",45,5,"Utility",1,65.45,28.8555512933838,0,0,0.45,659.930252306925
"2","gBOIN-ET",45,5,"Utility",2,58.19,29.7049940765213,9.99,3.80771220236605,0.5,659.120704262807
"3","gBOIN-ET",45,5,"Utility",3,57.72,34.5378073347325,14.16,5.82345057779351,4.36,652.587626237776
"4","gBOIN-ET",45,5,"Utility",4,64.25,45.5352204736286,21.33,11.0429550672901,1.75,656.3609849794
"5","gBOIN-ET",45,5,"Utility",5,59.65,41.7814931774206,13.86,7.26401581464698,1.49,656.576558684345
"6","gBOIN-ET",45,5,"Utility",6,70.67,54.7083587910846,19.12,10.4369805572527,0.53,657.187942570968
"7","gBOIN-ET",45,5,"Utility",7,77.94,87.5905088894177,19.39,12.4094911105823,2.67,647.234086943211
"8","gBOIN-ET",45,5,"Utility",8,77.74,60.851156045275,11.61,19.5794228941973,0.02,660.056646023354
"9","gBOIN-ET",45,5,"Utility",9,53.22,47.124467106913,31.41,13.6855303853548,1.82,658.142516955813
"10","gBOIN-ET",45,5,"Utility",10,33.08,12.0107354804294,0,0,0.11,660.204521473384
"11","gBOIN-ET",45,5,"Highest Efficacy",1,62.61,28.8555512933838,0,0,0.45,659.930252306925
"12","gBOIN-ET",45,5,"Highest Efficacy",2,54.12,29.7049940765213,4.47,3.80771220236605,0.5,659.120704262807
"13","gBOIN-ET",45,5,"Highest Efficacy",3,54.35,34.5378073347325,3.42,5.82345057779351,4.36,652.587626237776
"14","gBOIN-ET",45,5,"Highest Efficacy",4,65.93,45.5352204736286,12.89,11.0429550672901,1.75,656.3609849794
"15","gBOIN-ET",45,5,"Highest Efficacy",5,60.77,41.7814931774206,5.78,7.26401581464698,1.49,656.576558684345
"16","gBOIN-ET",45,5,"Highest Efficacy",6,69.32,54.7083587910846,8.33,10.4369805572527,0.53,657.187942570968
"17","gBOIN-ET",45,5,"Highest Efficacy",7,90.38,87.5905088894177,6.95,12.4094911105823,2.67,647.234086943211
"18","gBOIN-ET",45,5,"Highest Efficacy",8,75.71,60.851156045275,19.03,19.5794228941973,0.02,660.056646023354
"19","gBOIN-ET",45,5,"Highest Efficacy",9,82.91,47.124467106913,5.57,13.6855303853548,1.82,658.142516955813
"20","gBOIN-ET",45,5,"Highest Efficacy",10,26.2,12.0107354804294,0,0,0.11,660.204521473384
"21","gBOIN-ET",45,10,"Utility",1,64.13,28.9164060871378,0,0,0.4,779.660684804208
"22","gBOIN-ET",45,10,"Utility",2,57.32,29.4283951029122,10.06,3.76705474196884,0.39,779.393741946257
"23","gBOIN-ET",45,10,"Utility",3,58.28,34.9421646349169,14.25,5.89642709711118,4.3,771.373213285873
"24","gBOIN-ET",45,10,"Utility",4,65.05,45.4408313778076,21.75,11.4054642976869,1.82,775.803459848624
"25","gBOIN-ET",45,10,"Utility",5,57.71,41.2230432815563,14.95,7.46242396823003,1.88,776.007071532835
"26","gBOIN-ET",45,10,"Utility",6,70.17,54.2792095285127,20.04,11.2619587689269,0.53,776.438539398574
"27","gBOIN-ET",45,10,"Utility",7,79.41,88.105760633542,17.81,11.894239366458,2.78,763.361589356293
"28","gBOIN-ET",45,10,"Utility",8,78.88,61.7913284102085,11.04,18.9826468185834,0.02,779.660391479678
"29","gBOIN-ET",45,10,"Utility",9,53.35,47.4788511050925,31.67,13.4934965058348,1.74,777.221149613845
"30","gBOIN-ET",45,10,"Utility",10,33.71,12.3992431251928,0,0,0.12,779.659640064369
"31","gBOIN-ET",45,10,"Highest Efficacy",1,62.13,28.9164060871378,0,0,0.4,779.660684804208
"32","gBOIN-ET",45,10,"Highest Efficacy",2,53.96,29.4283951029122,4.29,3.76705474196884,0.39,779.393741946257
"33","gBOIN-ET",45,10,"Highest Efficacy",3,55.26,34.9421646349169,3.3,5.89642709711118,4.3,771.373213285873
"34","gBOIN-ET",45,10,"Highest Efficacy",4,66.37,45.4408313778076,13.38,11.4054642976869,1.82,775.803459848624
"35","gBOIN-ET",45,10,"Highest Efficacy",5,59.9,41.2230432815563,5.63,7.46242396823003,1.88,776.007071532835
"36","gBOIN-ET",45,10,"Highest Efficacy",6,67.5,54.2792095285127,9.09,11.2619587689269,0.53,776.438539398574
"37","gBOIN-ET",45,10,"Highest Efficacy",7,90.52,88.105760633542,6.7,11.894239366458,2.78,763.361589356293
"38","gBOIN-ET",45,10,"Highest Efficacy",8,76.84,61.7913284102085,18.22,18.9826468185834,0.02,779.660391479678
"39","gBOIN-ET",45,10,"Highest Efficacy",9,83.21,47.4788511050925,5.35,13.4934965058348,1.74,777.221149613845
"40","gBOIN-ET",45,10,"Highest Efficacy",10,26.88,12.3992431251928,0,0,0.12,779.659640064369
"41","gBOIN-ET",60,5,"Utility",1,66.5,29.1728157282573,0,0,0.34,839.572370444041
"42","gBOIN-ET",60,5,"Utility",2,56.63,29.2376098037089,9.95,3.84490252183561,0.43,839.179314447669
"43","gBOIN-ET",60,5,"Utility",3,57.63,34.7309320785529,13.63,5.8822043956599,4.15,831.534692510186
"44","gBOIN-ET",60,5,"Utility",4,65.09,45.2089584765226,21.63,11.3950681441,1.82,835.197132233182
"45","gBOIN-ET",60,5,"Utility",5,58.74,41.4087200087217,14.17,7.49477956777337,1.87,834.577422404288
"46","gBOIN-ET",60,5,"Utility",6,70.62,54.610695205078,20.05,11.0176020365439,0.62,836.162564490214
"47","gBOIN-ET",60,5,"Utility",7,78.73,87.4188063254549,18.59,12.5811936745451,2.68,823.416728948193
"48","gBOIN-ET",60,5,"Utility",8,78.61,61.6191666666667,10.64,18.9516666666667,0,839.95115502769
"49","gBOIN-ET",60,5,"Utility",9,52.61,47.5471635029297,31.96,13.5727241572423,1.73,837.399585944893
"50","gBOIN-ET",60,5,"Utility",10,33.32,12.0713077250035,0,0,0.08,839.896023552749
"51","gBOIN-ET",60,5,"Highest Efficacy",1,63.09,29.1728157282573,0,0,0.34,839.572370444041
"52","gBOIN-ET",60,5,"Highest Efficacy",2,54.3,29.2376098037089,4.28,3.84490252183561,0.43,839.179314447669
"53","gBOIN-ET",60,5,"Highest Efficacy",3,54.67,34.7309320785529,3.29,5.8822043956599,4.15,831.534692510186
"54","gBOIN-ET",60,5,"Highest Efficacy",4,65.51,45.2089584765226,13.33,11.3950681441,1.82,835.197132233182
"55","gBOIN-ET",60,5,"Highest Efficacy",5,59.94,41.4087200087217,5.87,7.49477956777337,1.87,834.577422404288
"56","gBOIN-ET",60,5,"Highest Efficacy",6,68.54,54.610695205078,8.97,11.0176020365439,0.62,836.162564490214
"57","gBOIN-ET",60,5,"Highest Efficacy",7,89.82,87.4188063254549,7.5,12.5811936745451,2.68,823.416728948193
"58","gBOIN-ET",60,5,"Highest Efficacy",8,76.97,61.6191666666667,17.77,18.9516666666667,0,839.95115502769
"59","gBOIN-ET",60,5,"Highest Efficacy",9,82.96,47.5471635029297,5.88,13.5727241572423,1.73,837.399585944893
"60","gBOIN-ET",60,5,"Highest Efficacy",10,26.31,12.0713077250035,0,0,0.08,839.896023552749
"61","gBOIN-ET",60,10,"Utility",1,65.44,29.0550682098662,0,0,0.38,959.632327413439
"62","gBOIN-ET",60,10,"Utility",2,57.23,28.9747697236684,9.67,3.83460152182619,0.5,958.804971645174
"63","gBOIN-ET",60,10,"Utility",3,58.33,35.1990626396136,14.41,5.75566251654289,4.56,948.649431960323
"64","gBOIN-ET",60,10,"Utility",4,65.13,45.2666934700305,21.71,11.5857540121285,1.69,955.35275747287
"65","gBOIN-ET",60,10,"Utility",5,58.49,40.9688013136289,14.58,7.49974866794008,1.74,954.713725634254
"66","gBOIN-ET",60,10,"Utility",6,69.53,53.8740717147503,20.01,11.0354885755955,0.68,953.975211413727
"67","gBOIN-ET",60,10,"Utility",7,78.74,87.6466334907065,18.5,12.3533665092935,2.76,939.991309469172
"68","gBOIN-ET",60,10,"Utility",8,79.24,61.3841666666667,10.44,18.9758333333333,0,959.494680622025
"69","gBOIN-ET",60,10,"Utility",9,52.72,47.1721140182229,31.43,13.7005767784001,1.81,956.404024422531
"70","gBOIN-ET",60,10,"Utility",10,33.86,12.3244630757819,0,0,0.05,959.578858169387
"71","gBOIN-ET",60,10,"Highest Efficacy",1,63.62,29.0550682098662,0,0,0.38,959.632327413439
"72","gBOIN-ET",60,10,"Highest Efficacy",2,53.43,28.9747697236684,4.33,3.83460152182619,0.5,958.804971645174
"73","gBOIN-ET",60,10,"Highest Efficacy",3,55.16,35.1990626396136,3.48,5.75566251654289,4.56,948.649431960323
"74","gBOIN-ET",60,10,"Highest Efficacy",4,65.63,45.2666934700305,13.38,11.5857540121285,1.69,955.35275747287
"75","gBOIN-ET",60,10,"Highest Efficacy",5,59.55,40.9688013136289,5.82,7.49974866794008,1.74,954.713725634254
"76","gBOIN-ET",60,10,"Highest Efficacy",6,68.01,53.8740717147503,8.66,11.0354885755955,0.68,953.975211413727
"77","gBOIN-ET",60,10,"Highest Efficacy",7,90.34,87.6466334907065,6.9,12.3533665092935,2.76,939.991309469172
"78","gBOIN-ET",60,10,"Highest Efficacy",8,76.97,61.3841666666667,17.68,18.9758333333333,0,959.494680622025
"79","gBOIN-ET",60,10,"Highest Efficacy",9,82.46,47.1721140182229,5.79,13.7005767784001,1.81,956.404024422531
"80","gBOIN-ET",60,10,"Highest Efficacy",10,27.1,12.3244630757819,0,0,0.05,959.578858169387
"81","gBOIN-ET",90,5,"Utility",1,65.93,29.1408843004153,0,0,0.45,1199.21263327286
"82","gBOIN-ET",90,5,"Utility",2,57.04,29.5367906507286,9.95,3.79209382637782,0.46,1198.73191803618
"83","gBOIN-ET",90,5,"Utility",3,59.44,35.7315302539168,13.37,5.66838870880605,4.8,1184.45813567223
"84","gBOIN-ET",90,5,"Utility",4,64.36,45.2528250008383,21.75,11.4039499714985,1.98,1192.85878604839
"85","gBOIN-ET",90,5,"Utility",5,58.4,41.6702294427818,14.81,7.56649816831393,1.82,1193.00008095987
"86","gBOIN-ET",90,5,"Utility",6,70.81,54.7099236002443,19.57,10.9018183643925,0.49,1195.04604557153
"87","gBOIN-ET",90,5,"Utility",7,78.83,87.8668075389387,18.19,12.1331924610613,2.98,1173.83724077739
"88","gBOIN-ET",90,5,"Utility",8,79.49,62.007201320242,10.97,18.8151161046192,0.02,1199.84403138361
"89","gBOIN-ET",90,5,"Utility",9,51.99,47.250349089024,32.27,13.8431566009181,1.94,1195.95699155997
"90","gBOIN-ET",90,5,"Utility",10,33.66,12.0634761880949,0,0,0.09,1199.79123827865
"91","gBOIN-ET",90,5,"Highest Efficacy",1,63.51,29.1408843004153,0,0,0.45,1199.21263327286
"92","gBOIN-ET",90,5,"Highest Efficacy",2,55.07,29.5367906507286,4.17,3.79209382637782,0.46,1198.73191803618
"93","gBOIN-ET",90,5,"Highest Efficacy",3,56.17,35.7315302539168,3.14,5.66838870880605,4.8,1184.45813567223
"94","gBOIN-ET",90,5,"Highest Efficacy",4,65.41,45.2528250008383,12.98,11.4039499714985,1.98,1192.85878604839
"95","gBOIN-ET",90,5,"Highest Efficacy",5,60.73,41.6702294427818,5.72,7.56649816831393,1.82,1193.00008095987
"96","gBOIN-ET",90,5,"Highest Efficacy",6,68.09,54.7099236002443,8.96,10.9018183643925,0.49,1195.04604557153
"97","gBOIN-ET",90,5,"Highest Efficacy",7,90.17,87.8668075389387,6.85,12.1331924610613,2.98,1173.83724077739
"98","gBOIN-ET",90,5,"Highest Efficacy",8,77.47,62.007201320242,18.08,18.8151161046192,0.02,1199.84403138361
"99","gBOIN-ET",90,5,"Highest Efficacy",9,82.79,47.250349089024,5.68,13.8431566009181,1.94,1195.95699155997
"100","gBOIN-ET",90,5,"Highest Efficacy",10,26.44,12.0634761880949,0,0,0.09,1199.79123827865
"101","gBOIN-ET",90,10,"Utility",1,65.53,28.8607616045893,0,0,0.4,1318.86784426459
"102","gBOIN-ET",90,10,"Utility",2,57.74,29.2702666622167,9.37,3.69372225745086,0.47,1318.34773240421
"103","gBOIN-ET",90,10,"Utility",3,59.06,35.412466362417,14.09,5.79789612208228,4.58,1304.31376560141
"104","gBOIN-ET",90,10,"Utility",4,63.97,44.8881481419442,22.27,11.7421418939857,1.77,1313.50850077948
"105","gBOIN-ET",90,10,"Utility",5,58.22,41.3287816007113,14.26,7.35854120883729,1.94,1311.81942561888
"106","gBOIN-ET",90,10,"Utility",6,69.61,53.9642522112034,19.97,11.0995711605468,0.65,1313.16123068856
"107","gBOIN-ET",90,10,"Utility",7,79.62,88.03254739417,17.82,11.96745260583,2.56,1295.0079252133
"108","gBOIN-ET",90,10,"Utility",8,78.95,61.9183333333333,11.27,18.8508333333333,0,1320.37306412213
"109","gBOIN-ET",90,10,"Utility",9,53.2,47.2088007623761,31.4,13.6784645478408,1.9,1315.88957829823
"110","gBOIN-ET",90,10,"Utility",10,32.82,11.9071232716878,0,0,0.06,1319.64929133176
"111","gBOIN-ET",90,10,"Highest Efficacy",1,62.91,28.8607616045893,0,0,0.4,1318.86784426459
"112","gBOIN-ET",90,10,"Highest Efficacy",2,53.95,29.2702666622167,4.35,3.69372225745086,0.47,1318.34773240421
"113","gBOIN-ET",90,10,"Highest Efficacy",3,56.08,35.412466362417,3.27,5.79789612208228,4.58,1304.31376560141
"114","gBOIN-ET",90,10,"Highest Efficacy",4,65.38,44.8881481419442,13.89,11.7421418939857,1.77,1313.50850077948
"115","gBOIN-ET",90,10,"Highest Efficacy",5,59.6,41.3287816007113,6.02,7.35854120883729,1.94,1311.81942561888
"116","gBOIN-ET",90,10,"Highest Efficacy",6,68.23,53.9642522112034,8.5,11.0995711605468,0.65,1313.16123068856
