"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"1","TITE-gBOIN-ET",45,5,"Utility",1,"Rec",0.3,1.61,2.92,4,6.87,16.49,67.81
"2","TITE-gBOIN-ET",45,5,"Utility",1,"Pats",NA,3.8019,4.4763,5.1474,5.8356,7.4445,9.2799
"3","TITE-gBOIN-ET",45,5,"Utility",2,"Rec",0.4,1.54,2.86,2.92,28.55,54.62,9.11
"4","TITE-gBOIN-ET",45,5,"Utility",2,"Pats",NA,3.843,4.6491,5.7096,10.4715,9.6852,1.6032
"5","TITE-gBOIN-ET",45,5,"Utility",3,"Rec",3.36,4.48,7.82,11.67,59.84,11.79,1.04
"6","TITE-gBOIN-ET",45,5,"Utility",3,"Pats",NA,4.98,7.2633,9.5427,11.7426,1.9368,0.2262
"7","TITE-gBOIN-ET",45,5,"Utility",4,"Rec",1.07,4.81,5.07,67.04,17.37,4.01,0.63
"8","TITE-gBOIN-ET",45,5,"Utility",4,"Pats",NA,6.1638,10.1409,14.781,3.8613,0.7911,0.1365
"9","TITE-gBOIN-ET",45,5,"Utility",5,"Rec",1.38,9.31,15.68,60.22,11.92,1.47,0.02
"10","TITE-gBOIN-ET",45,5,"Utility",5,"Pats",NA,7.0056,12.1386,13.7595,2.5533,0.3321,0.0318
"11","TITE-gBOIN-ET",45,5,"Utility",6,"Rec",0.6,7.83,70.32,17.01,3.6,0.56,0.08
"12","TITE-gBOIN-ET",45,5,"Utility",6,"Pats",NA,12.7242,18.2808,3.9408,0.7383,0.1158,0.0087
"13","TITE-gBOIN-ET",45,5,"Utility",7,"Rec",3.57,80.78,12.79,2.45,0.38,0.01,0.02
"14","TITE-gBOIN-ET",45,5,"Utility",7,"Pats",NA,30.5265,3.9705,0.5808,0.0717,0.0039,6e-04
"15","TITE-gBOIN-ET",45,5,"Utility",8,"Rec",0.01,14.16,75.59,8.08,1.73,0.39,0.04
"16","TITE-gBOIN-ET",45,5,"Utility",8,"Pats",NA,7.4364,20.6043,4.5777,2.2617,0.8721,0.2445
"17","TITE-gBOIN-ET",45,5,"Utility",9,"Rec",1.03,2.7,2.23,2.56,62.65,23.43,5.4
"18","TITE-gBOIN-ET",45,5,"Utility",9,"Pats",NA,4.2375,5.0445,5.0391,16.1079,4.5906,0.9192
"19","TITE-gBOIN-ET",45,5,"Utility",10,"Rec",0.04,0.73,1.35,2.14,6.37,54.73,34.64
"20","TITE-gBOIN-ET",45,5,"Utility",10,"Pats",NA,3.3126,3.7218,4.4841,6.3327,13.32,4.827
"21","TITE-gBOIN-ET",45,5,"Highest Efficacy",1,"Rec",0.3,0.61,1.58,2.98,9.26,25.27,60
"22","TITE-gBOIN-ET",45,5,"Highest Efficacy",1,"Pats",NA,3.8019,4.4763,5.1474,5.8356,7.4445,9.2799
"23","TITE-gBOIN-ET",45,5,"Highest Efficacy",2,"Rec",0.4,0.66,1.72,3.64,40.23,49.62,3.73
"24","TITE-gBOIN-ET",45,5,"Highest Efficacy",2,"Pats",NA,3.843,4.6491,5.7096,10.4715,9.6852,1.6032
"25","TITE-gBOIN-ET",45,5,"Highest Efficacy",3,"Rec",3.36,3.22,9.4,29.81,51.47,2.65,0.09
"26","TITE-gBOIN-ET",45,5,"Highest Efficacy",3,"Pats",NA,4.98,7.2633,9.5427,11.7426,1.9368,0.2262
"27","TITE-gBOIN-ET",45,5,"Highest Efficacy",4,"Rec",1.07,5.95,20.71,60.16,10.44,1.56,0.11
"28","TITE-gBOIN-ET",45,5,"Highest Efficacy",4,"Pats",NA,6.1638,10.1409,14.781,3.8613,0.7911,0.1365
"29","TITE-gBOIN-ET",45,5,"Highest Efficacy",5,"Rec",1.38,5.28,31.8,56.68,4.76,0.1,0
"30","TITE-gBOIN-ET",45,5,"Highest Efficacy",5,"Pats",NA,7.0056,12.1386,13.7595,2.5533,0.3321,0.0318
"31","TITE-gBOIN-ET",45,5,"Highest Efficacy",6,"Rec",0.6,30.56,62.43,5.94,0.46,0.01,0
"32","TITE-gBOIN-ET",45,5,"Highest Efficacy",6,"Pats",NA,12.7242,18.2808,3.9408,0.7383,0.1158,0.0087
"33","TITE-gBOIN-ET",45,5,"Highest Efficacy",7,"Rec",3.57,90.93,5.39,0.11,0,0,0
"34","TITE-gBOIN-ET",45,5,"Highest Efficacy",7,"Pats",NA,30.5265,3.9705,0.5808,0.0717,0.0039,6e-04
