"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"1","gBOIN-ET",45,5,"Utility",1,"Rec",0.29,1.69,2.96,3.87,6.97,15.56,68.66
"2","gBOIN-ET",45,5,"Utility",1,"Pats",NA,3.5853,4.1256,4.7232,5.5419,8.2905,9.714
"3","gBOIN-ET",45,5,"Utility",2,"Rec",0.47,1.94,3.04,2.86,36.24,51.25,4.2
"4","gBOIN-ET",45,5,"Utility",2,"Pats",NA,3.6735,4.3974,5.6559,13.6578,8.0676,0.507
"5","gBOIN-ET",45,5,"Utility",3,"Rec",4.63,4.32,7.91,10.04,63.07,9.49,0.54
"6","gBOIN-ET",45,5,"Utility",3,"Pats",NA,4.9653,7.374,10.1709,11.7891,1.1703,0.0957
"7","gBOIN-ET",45,5,"Utility",4,"Rec",1.42,4.63,4.99,76.46,11.26,1.16,0.08
"8","gBOIN-ET",45,5,"Utility",4,"Pats",NA,6.255,11.3241,16.2195,1.8936,0.1401,0.0069
"9","gBOIN-ET",45,5,"Utility",5,"Rec",1.31,10.02,16.26,63.84,7.92,0.64,0.01
"10","gBOIN-ET",45,5,"Utility",5,"Pats",NA,6.8121,13.9677,13.737,1.2306,0.0858,0.0027
"11","gBOIN-ET",45,5,"Utility",6,"Rec",0.86,8.54,79.93,9.8,0.83,0.04,0
"12","gBOIN-ET",45,5,"Utility",6,"Pats",NA,15.2091,18.8208,1.5813,0.1104,0.006,0
"13","gBOIN-ET",45,5,"Utility",7,"Rec",4.7,85.03,8.94,1.18,0.13,0.02,0
"14","gBOIN-ET",45,5,"Utility",7,"Pats",NA,32.7018,1.9041,0.1806,0.0147,0.0024,0
"15","gBOIN-ET",45,5,"Utility",8,"Rec",0,20.04,71.44,7.17,1.11,0.2,0.04
"16","gBOIN-ET",45,5,"Utility",8,"Pats",NA,12.2412,20.2737,2.6229,0.6462,0.1794,0.0366
"17","gBOIN-ET",45,5,"Utility",9,"Rec",1.11,2.57,1.19,1.06,76.74,15.44,1.89
"18","gBOIN-ET",45,5,"Utility",9,"Pats",NA,3.7656,4.3164,4.623,21.024,2.0103,0.1779
"19","gBOIN-ET",45,5,"Utility",10,"Rec",0.1,1.01,1.15,1.84,6.13,74.37,15.4
"20","gBOIN-ET",45,5,"Utility",10,"Pats",NA,3.2346,3.5478,4.3287,7.2552,15.663,1.9653
"21","gBOIN-ET",45,5,"Highest Efficacy",1,"Rec",0.29,0.54,1.44,2.92,10.33,27.53,56.95
"22","gBOIN-ET",45,5,"Highest Efficacy",1,"Pats",NA,3.5853,4.1256,4.7232,5.5419,8.2905,9.714
"23","gBOIN-ET",45,5,"Highest Efficacy",2,"Rec",0.47,0.59,1.45,4.07,51.54,40.67,1.21
"24","gBOIN-ET",45,5,"Highest Efficacy",2,"Pats",NA,3.6735,4.3974,5.6559,13.6578,8.0676,0.507
"25","gBOIN-ET",45,5,"Highest Efficacy",3,"Rec",4.63,2.99,10.21,31.22,49.52,1.43,0
"26","gBOIN-ET",45,5,"Highest Efficacy",3,"Pats",NA,4.9653,7.374,10.1709,11.7891,1.1703,0.0957
"27","gBOIN-ET",45,5,"Highest Efficacy",4,"Rec",1.42,5.98,22.93,64.04,5.38,0.23,0.02
"28","gBOIN-ET",45,5,"Highest Efficacy",4,"Pats",NA,6.255,11.3241,16.2195,1.8936,0.1401,0.0069
"29","gBOIN-ET",45,5,"Highest Efficacy",5,"Rec",1.31,5.11,36.64,54.77,2.12,0.05,0
