   Scenario            Design      PCS      PCA      POS      POA     PET     Dur
1         1          gBOIN-ET     56.7     26.8      0.0      0.0     0.2     960
2         1     TITE-gBOIN-ET     58.9     25.9      0.0      0.0     0.3     559
3         2          gBOIN-ET     41.8     22.9      1.3      1.4     0.3     960
4         2     TITE-gBOIN-ET     49.0     27.7      3.4      4.0     0.3     518
5         3          gBOIN-ET     50.7     33.8      1.7      3.6     4.4     949
6         3     TITE-gBOIN-ET     50.0     32.2      2.6      5.7     3.5     514
7         4          gBOIN-ET     64.4     45.2      5.2      5.5     1.3     956
8         4     TITE-gBOIN-ET     61.4     41.4     10.7     12.7     1.0     476
9         5          gBOIN-ET     53.9     37.9      2.3      3.8     1.3     956
10        5     TITE-gBOIN-ET     56.7     39.0      4.4      7.7     1.0     480
11        6          gBOIN-ET     61.2     51.9      2.5      4.9     0.7     954
12        6     TITE-gBOIN-ET     61.4     50.9      6.0     11.9     0.7     449
13        7          gBOIN-ET     92.9     94.1      2.4      5.9     4.7     929
14        7     TITE-gBOIN-ET     91.3     88.3      5.0     11.7     3.6     429
15        8          gBOIN-ET     70.7     56.5     11.6      9.5     0.0     960
16        8     TITE-gBOIN-ET     75.9     58.3     13.9     21.5     0.0     459
17        9          gBOIN-ET     92.4     58.6      1.1      6.1     1.1     958
18        9     TITE-gBOIN-ET     87.3     48.0      3.0     12.8     1.3     535
19       10          gBOIN-ET     11.2      5.3      0.0      0.0     0.0     960
20       10     TITE-gBOIN-ET     28.0     13.3      0.0      0.0     0.0     536
