   Scenario            Design      PCS      PCA      POS      POA     PET     Dur
1         1          gBOIN-ET     63.1     29.2      0.0      0.0     0.3     840
2         1     TITE-gBOIN-ET     63.2     25.5      0.0      0.0     0.2     453
3         2          gBOIN-ET     54.3     29.2      4.3      3.8     0.4     839
4         2     TITE-gBOIN-ET     53.8     28.1      7.6      6.9     0.5     406
5         3          gBOIN-ET     54.7     34.7      3.3      5.9     4.2     832
6         3     TITE-gBOIN-ET     55.6     32.3      5.0      8.7     3.6     400
7         4          gBOIN-ET     65.5     45.2     13.3     11.4     1.8     835
8         4     TITE-gBOIN-ET     59.6     38.3     21.6     19.9     1.5     352
9         5          gBOIN-ET     59.9     41.4      5.9      7.5     1.9     835
10        5     TITE-gBOIN-ET     59.4     37.6      9.0     12.7     1.6     355
11        6          gBOIN-ET     68.5     54.6      9.0     11.0     0.6     836
12        6     TITE-gBOIN-ET     65.5     48.2     15.5     20.8     0.4     315
13        7          gBOIN-ET     89.8     87.4      7.5     12.6     2.7     823
14        7     TITE-gBOIN-ET     86.1     78.7     11.8     21.3     2.1     294
15        8          gBOIN-ET     77.0     61.6     17.8     19.0     0.0     840
16        8     TITE-gBOIN-ET     74.4     53.0     19.1     30.5     0.0     339
17        9          gBOIN-ET     83.0     47.5      5.9     13.6     1.7     837
18        9     TITE-gBOIN-ET     77.7     36.7      9.4     19.4     1.3     428
19       10          gBOIN-ET     26.3     12.1      0.0      0.0     0.1     840
20       10     TITE-gBOIN-ET     45.3     19.9      0.0      0.0     0.1     429
