   Scenario            Design      PCS      PCA      POS      POA     PET      Dur
1         1          gBOIN-ET     62.9     28.9      0.0      0.0     0.4     1319
2         1     TITE-gBOIN-ET     63.6     25.6      0.0      0.0     0.4      713
3         2          gBOIN-ET     54.0     29.3      4.3      3.7     0.5     1318
4         2     TITE-gBOIN-ET     53.1     28.1      7.4      6.7     0.4      645
5         3          gBOIN-ET     56.1     35.4      3.3      5.8     4.6     1304
6         3     TITE-gBOIN-ET     55.8     32.7      4.7      8.1     3.1      643
7         4          gBOIN-ET     65.4     44.9     13.9     11.7     1.8     1314
8         4     TITE-gBOIN-ET     61.2     39.1     20.1     19.2     1.4      573
9         5          gBOIN-ET     59.6     41.3      6.0      7.4     1.9     1312
10        5     TITE-gBOIN-ET     59.0     38.4      8.3     11.6     1.5      579
11        6          gBOIN-ET     68.2     54.0      8.5     11.1     0.7     1313
12        6     TITE-gBOIN-ET     65.7     48.5     14.1     19.5     0.6      527
13        7          gBOIN-ET     90.5     88.0      7.0     12.0     2.6     1295
14        7     TITE-gBOIN-ET     86.9     80.4     10.6     19.6     2.5      499
15        8          gBOIN-ET     77.0     61.9     18.3     18.9     0.0     1320
16        8     TITE-gBOIN-ET     75.0     53.2     18.4     30.4     0.0      553
17        9          gBOIN-ET     82.8     47.2      5.8     13.7     1.9     1316
18        9     TITE-gBOIN-ET     78.6     38.8      8.6     17.5     1.4      685
19       10          gBOIN-ET     25.8     11.9      0.0      0.0     0.1     1320
20       10     TITE-gBOIN-ET     44.4     19.9      0.0      0.0     0.1      677
